ShapeId,ShapeName,ParentShapeId,ShapeText,ShapeType,MasterName,Is1DShape,BeginConnectedTo,EndConnectedTo,ConnectionPoints,PageName,PositionX,PositionY,Width,Height,BeginX,BeginY,EndX,EndY,ShapeData,LayerMembership
5,CFF Container,,"E-Commerce Shopping – Process Flow Diagram
",Group,CFF Container,False,,,,page1,0,0,0,0,0,0,0,0,,
6,,5,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
7,,5,"E-Commerce Shopping – Process Flow Diagram
",Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
6,,,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
7,,,"E-Commerce Shopping – Process Flow Diagram
",Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
8,Swimlane List,,,Shape,Swimlane List,False,,,,page1,0,0,0,0,0,0,0,0,,
255,,,,Group,CFF Container,False,,,,page1,0,0,0,0,0,0,0,0,,
256,,255,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
257,,255,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
256,,,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
257,,,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
258,,,,Shape,Swimlane List,False,,,,page1,0,0,0,0,0,0,0,0,,
307,,,,Group,CFF Container,False,,,,page1,0,0,0,0,0,0,0,0,,
308,,307,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
309,,307,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
308,,,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
309,,,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
310,,,,Shape,Swimlane List,False,,,,page1,0,0,0,0,0,0,0,0,,
1,Pool / Lane,,"Customer
",Group,Pool / Lane,False,,,,page1,0,0,0,0,0,0,0,0,,
2,,1,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
3,,1,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
4,,1,"Customer
",Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
2,,,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
3,,,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
4,,,"Customer
",Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
251,,,"Order Entry System
",Group,Pool / Lane,False,,,,page1,0,0,0,0,0,0,0,0,,
252,,251,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
253,,251,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
254,,251,"Order Entry System
",Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
252,,,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
253,,,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
254,,,"Order Entry System
",Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
303,,,"Back Office (Order Fullfillment)
",Group,Pool / Lane,False,,,,page1,0,0,0,0,0,0,0,0,,
304,,303,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
305,,303,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
306,,303,"Back Office (Order Fullfillment)
",Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
304,,,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
305,,,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
306,,,"Back Office (Order Fullfillment)
",Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
9,Phase List,,,Shape,Phase List,False,,,,page1,0,0,0,0,0,0,0,0,,
10,Separator,,,Group,Separator,False,,,,page1,0,0,0,0,0,0,0,0,,
11,,10,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
12,,10,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
11,,,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
12,,,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
259,,,,Shape,Phase List,False,,,,page1,0,0,0,0,0,0,0,0,,
260,,,,Group,Separator,False,,,,page1,0,0,0,0,0,0,0,0,,
261,,260,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
262,,260,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
261,,,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
