ShapeId,ShapeName,ParentShapeId,ShapeText,ShapeType,MasterName,Is1DShape,BeginConnectedTo,EndConnectedTo,ConnectionPoints,PageName,PositionX,PositionY,Width,Height,BeginX,BeginY,EndX,EndY,ShapeData,LayerMembership
1,CFF Container,,"Agile Software Release Diagram (Swimlane)
",Group,CFF Container,False,,,,page1,0,0,0,0,0,0,0,0,,
2,,1,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
3,,1,"Agile Software Release Diagram (Swimlane)
",Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
2,,,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
3,,,"Agile Software Release Diagram (Swimlane)
",Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
4,Swimlane List,,,Shape,Swimlane List,False,,,,page1,0,0,0,0,0,0,0,0,,
6,Swimlane,,"Development Team
",Group,Swimlane,False,,,,page1,0,0,0,0,0,0,0,0,,
7,,6,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
8,,6,"Development Team
",Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
7,,,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
8,,,"Development Team
",Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
9,,,"Product Owner
",Group,Swimlane,False,,,,page1,0,0,0,0,0,0,0,0,,
10,,9,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
11,,9,"Product Owner
",Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
10,,,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
11,,,"Product Owner
",Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
15,,,"Scrum Master
",Group,Swimlane,False,,,,page1,0,0,0,0,0,0,0,0,,
16,,15,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
17,,15,"Scrum Master
",Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
16,,,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
17,,,"Scrum Master
",Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
18,,,"Solution Architect
",Group,Swimlane,False,,,,page1,0,0,0,0,0,0,0,0,,
19,,18,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
20,,18,"Solution Architect
",Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
19,,,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
20,,,"Solution Architect
",Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
24,,,"QA Team
",Group,Swimlane,False,,,,page1,0,0,0,0,0,0,0,0,,
25,,24,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
26,,24,"QA Team
",Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
25,,,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
26,,,"QA Team
",Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
5,Phase List,,,Shape,Phase List,False,,,,page1,0,0,0,0,0,0,0,0,,
12,Separator,,"Production Deployment
",Group,Separator,False,,,,page1,0,0,0,0,0,0,0,0,,
13,,12,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
14,,12,"Production Deployment
",Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
13,,,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
14,,,"Production Deployment
",Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
110,,,"Product Increment (PI Planning)
",Group,Separator,False,,,,page1,0,0,0,0,0,0,0,0,,
111,,110,,Shape,,False,,,,page1,0,0,0,0,0,0,0,0,,
